Statement,Label,,,
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,TRUE,,,
"Sorry, I'll call later",TRUE,,,
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,TRUE,,,
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",FALSE,,,
Would really appreciate if you call me. Just need someone to talk to.,TRUE,,,
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",FALSE,,,
Hey company elama po mudyadhu.,TRUE,,,
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",TRUE,,,
Dear good morning now only i am up,TRUE,,,
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,TRUE,,,
Dear we are going to our rubber place,TRUE,,,
"Sorry battery died, yeah I'm here",TRUE,,,
Yes:)here tv is always available in work place..,TRUE,,,
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,FALSE,,,
I have printed it oh. So  &lt;#&gt;  come upstairs,TRUE,,,
Or ill be a little closer like at the bus stop on the same street,TRUE,,,
Where are you?when wil you reach here?,TRUE,,,
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",TRUE,,,
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,FALSE,,,
Tomarrow final hearing on my laptop case so i cant.,TRUE,,,
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,TRUE,,,
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",TRUE,,,
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",TRUE,,,
U don't remember that old commercial?,TRUE,,,
Too late. I said i have the website. I didn't i have or dont have the slippers,TRUE,,,
I asked you to call him now ok,TRUE,,,
Kallis wont bat in 2nd innings.,TRUE,,,
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,TRUE,,,
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,FALSE,,,
Ranjith cal drpd Deeraj and deepak 5min hold,TRUE,,,
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",TRUE,,,
What you doing?how are you?,TRUE,,,
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",TRUE,,,
"I'm back, lemme know when you're ready",TRUE,,,
Don't necessarily expect it to be done before you get back though because I'm just now headin out,TRUE,,,
Mmm so yummy babe ... Nice jolt to the suzy,TRUE,,,
Where are you lover ? I need you ...,TRUE,,,
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,FALSE,,,
I���m parked next to a MINI!!!! When are you coming in today do you think?,TRUE,,,
Yup,TRUE,,,
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,TRUE,,,
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,TRUE,,,
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,FALSE,,,
Why you Dint come with us.,TRUE,,,
Same. Wana plan a trip sometme then,TRUE,,,
"Not sure yet, still trying to get a hold of him",TRUE,,,
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,FALSE,,,
The evo. I just had to download flash. Jealous?,TRUE,,,
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,FALSE,,,
"Come to mu, we're sorting out our narcotics situation",TRUE,,,
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",TRUE,,,
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,FALSE,,,
"Usf I guess, might as well take 1 car",TRUE,,,
No objection. My bf not coming.,TRUE,,,
Thanx...,TRUE,,,
Tell rob to mack his gf in the theater,TRUE,,,
"Awesome, I'll see you in a bit",TRUE,,,
Just sent it. So what type of food do you like?,TRUE,,,
All done? All handed in? Celebrations in full swing yet?,TRUE,,,
You got called a tool?,TRUE,,,
\Wen u miss someone,TRUE,, why to miss them," just Keep-in-touch\"" gdeve.."""
Ok. I asked for money how far,TRUE,,,
Okie...,TRUE,,,
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",TRUE,,,
"K, I might come by tonight then if my class lets out early",TRUE,,,
Ok..,TRUE,,,
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,TRUE,,,
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",TRUE,,,
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",TRUE,,,
Hey you told your name to gautTRUE ah?,TRUE,,,
Haf u found him? I feel so stupid da v cam was working.,TRUE,,,
Oops. 4 got that bit.,TRUE,,,
Are you this much buzy,TRUE,,,
I accidentally deleted the message. Resend please.,TRUE,,,
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,FALSE,,,
Unless it's a situation where YOU GO GURL would be more appropriate,TRUE,,,
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,TRUE,,,
I cant pick the phone right now. Pls send a message,TRUE,,,
Need a coffee run tomo?Can't believe it's that time of week already,TRUE,,,
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",TRUE,,,
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",TRUE,,,
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,TRUE,,,
He is a womdarfull actor,TRUE,,,
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",FALSE,,,
Yup... From what i remb... I think should be can book... ,TRUE,,,
Jos ask if u wana meet up?,TRUE,,,
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,TRUE,,,
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",FALSE,,,
Where are the garage keys? They aren't on the bookshelf,TRUE,,,
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,TRUE,,,
"Think ur smart ? Win �200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",FALSE,,,
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,TRUE,,,
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",TRUE,,,
You made my day. Do have a great day too.,TRUE,,,
K.k:)advance happy pongal.,TRUE,,,
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",TRUE,,,
"Not really dude, have no friends i'm afraid :(",TRUE,,,
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,FALSE,,,
"Coffee cake, i guess...",TRUE,,,
"Merry Christmas to you too babe, i love ya *kisses*",TRUE,,,
Hey... Why dont we just go watch x men and have lunch... Haha ,TRUE,,,
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,TRUE,,,
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,TRUE,,,
No problem. How are you doing?,TRUE,,,
No calls..messages..missed calls,TRUE,,,
Hi da:)how is the todays class?,TRUE,,,
"I'd say that's a good sign but, well, you know my track record at reading women",TRUE,,,
"Cool, text me when you're parked",TRUE,,,
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,TRUE,,,
K.k:)apo k.good movie.,TRUE,,,
Maybe i could get book out tomo then return it immediately ..? Or something.,TRUE,,,
